Pokedex,Pokemon,Type,Series,Price
20,Raticate,N,1,
70,Weepinbell,G,1,
80,Slowbro,W,2,
91,Cloyster,W,2,
96,Drowzee,P,2,
102,Exeggcute,G,2,
109,Koffing,P,2,
119,Seaking,W,3,
