Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
T	Aroma Lady	Su	2			141	Megumi Mizutani			8/31/2021
T	Boost Shake	I	2			142	sodaji			8/25/2021
T	Copycat	Su	2	Reverse		143	Sanosuke Sakuma			8/25/2021
T	Crystal Cave	S	2			144	Toyste Beach			8/25/2021
T	Digging Gloves	I	2			145	Toyste Beach			8/4/2021
T	Dream Ball	I	2			146	Ryo Ueda			8/31/2021
T	Elemental Badge	I	2			147	Studio Bora Inc.			8/25/2021
T	Full Face Guard	I	2			148	AYUMI ODASHIMA			8/25/2021
T	Gordie	Su	2			149	take			8/25/2021
T	Lucky Ice Pop	I	2	Reverse		150	inose yukie			8/25/2021
T	Moon & Sun Badge	I	2			151	Studio Bora inc.			8/25/2021
T	Raihan	Su	2			152	take			8/25/2021
T	Scroll of the Flying Dragon	I	2	Reverse	Rapid Strike	153	5ban Graphics			8/25/2021
T	Rescue Carrier	I	2			154	Ryo Ueda			8/25/2021
T	Ribbon Badge	I	2			155	Studio Bora Inc.			8/25/2021
T	Rubber Gloves	I	2			156	Toyste Beach			8/25/2021
T	Shopping Center	S	2	Reverse		157	Oswaldo KATO			8/14/2022
T	Scroll of the Fanged Dragon	I	2		Single Strike	158	5ban Graphics			8/25/2021
T	Snow Leaf Badge	I	2			159	Studio Bora Inc.			8/25/2021
T	Spirit Mask	I	2			160	AYUMI ODASHIMA			8/25/2021
T	Stormy Mountains	S	2			161	Toyste Beach			8/31/2021
T	Switching Cups	I	2	Reverse		162	Ryo Ueda	Smudged		8/25/2021
T	Toy Catcher	I	2			163	sodaji			8/25/2021
T	Zinnia's Resolve	Su	2			164	Taira Akitsu			8/31/2021
T	Treasure Energy	N	2	Reverse		165				8/25/2021
