Pokedex	Pokemon	Type	HoloFoil	Promo Event	Other	Set No.	Artist	Damaged	Price	Date
474	Porygon-Z GX	N	Full	Porygon-Z GX Box	Full Art / Mega Card	216	PLANETA Tsuji			10/12/2019
489	Phione	W	Holo	Cosm	ic Eclipse Pre-Release		SM	Kagemaru Himeno		
6	Charizard	F	Holo	2019 Collector Chest		226	2019 Pikachu Project			12/20/2019
25	Pikachu	El	Holo	2019 Collector Chest		227	2019 Pikachu Project			12/20/2019
150	Armored Mewtwo	P	Full	2019 Collector Chest	Full Art	228	2019 Pikachu Project			12/20/2019
3 & 495	Venusaur & Snivy GX	G	Full	Tag Team Generations Premium Collection	Full Art / Textured	229	Yuka Morii			12/20/2019
6 & 654	Charizard & Braixen GX	F	Full	Tag Team Generations Premium Collection	Full Art / Textured	230	Kagemaru Himeno			12/20/2019
6 & 654	Charizard & Braixen GX	F	Full	Tag Team Generations Premium Collection	Full Art / Textured / Mega Card	230	Kagemaru Himeno			12/20/2019
873	Frosmoth	W	Holo	Sword and Shield Base Set Pre-Release		007	kirisAki			1/25/2020
863	Perrserker	Sl	Holo	Sword and Shield Base Set Pre-Release	Galarian	008	Akira Komayama			2/2/2020
829	Gossifleur	G	Sequin	General Mills Cereal Box Promo		010	Naoki Saito			4/4/2021
815	Cinderace	F	Full	Cinderace Tin		015	5ban Graphics			10/18/2020
405	Luxray	El	Holo	Rebel Clash Pre-Release		023	Megumi Higuchi			4/25/2020
839	Coalossal	Fg	Holo	Rebel Clash Pre-Release		024	Kouki Saitou			4/25/2020
569	Garbodor	D	Holo	Rebel Clash Pre-Release		025	tetsuya koizumi			4/25/2020
724	Decidueye	G	Holo	Darkness Ablaze Pre-Release		035	Souichirou Gunjima			7/22/2020
25	Pikachu	El	Sequin	General Mills Cereal Box Promo		039	Hitoshi Ariga			4/4/2021
6	Charizard V	F	Full	Champions Path Elite Trainer Box	Full Art / Textured	050	5ban Graphics			9/24/2020
25	Pikachu V-Max	El	Full	Celebrations Pikachu V-Max Figure Collection	Full Art / Textured	062	PLANETA Mochizuki			8/14/2022
888	Zacian V	Sl	Full	Sword Shield Zacian Elite Trainer Box	Full Art / Black and Gold	076	5ban Graphics			5/11/2021
866	Mr. Rime	W	Holo	Mr. Rime Box	Galarian	079	KEBCHIRO ITO			7/15/2021
855	Polteageist	P	Holo	Shining Fates Pin Box		081	Misa Tsutsui			2/20/2021
131	Eevee VMax	N	Full	Shining Fates Elite Trainer Box	Full Art / Textured	087	PLANETA Mochizuki			2/20/2021
229	Houndoom	D	Holo	Battle Styles Pre-Release		090	Uta			3/22/2021
78	Galarian Rapidash V	P	Full	Galarian Rapidash V Box	Full Art / Jumbo Card	111	Saki Hayashiro			6/13/2021
818	Inteleon	W	Holo	Chilling Reign Pre-Release		113	AKIRA EGAWA			6/13/2021
877	Morpeko	El	Holo			116	Atsushi Furusawa			
T	Marnie	Su	Holo	Marnie Premium Tournament Collection		120	Sanosuke Sakuma			8/7/2021
T	Marnie	Su	Full	Marnie Premium Tournament Collection	Full Art / Textured	121	Sanosuke Sakuma			8/7/2021
144	Articuno	P	Holo	Evolving Skies Pre-Release	Galarian	123	Shin Nagasawa			9/25/2021
145	Zapdos	P	Holo	Evolving Skies Pre-Release	Galarian	124	Oswalso KATO			9/25/2021
887	Dragapult	P	Full	Celebrations Dragapult Prime Collection	Full Art	132	5ban Graphics			8/14/2022
887	Dragapult	P	Full	Celebrations Dragapult Prime Collection	Full Art / Jumbo	132	5ban Graphics			8/14/2022
6	Charizard V	F	Full	Celebrations V Memories Special Collection	Lance's / Full Art	133	Hideki Ishikawa			8/14/2022
6	Charizard V	F	Full	Celebrations V Memories Special Collection	Lance's / Full Art / Jumbo	133	Hideki Ishikawa			8/14/2022
700	Dark Sylveon V	P	Full	Celebrations V Memories Special Collection	Full Art	134	Ryuta Fuse			8/14/2022
888	Zacian LV. X	Sl	Full	Celebrations Deluxe Pin Collection		135	5ban Graphics			8/14/2022
25	Pikachu V-Union	EL	Full	Celebrations Pikachu V Union Special Collection	Full Art	139				8/14/2022
25	Pikachu V-Union	EL	Full	Celebrations Pikachu V Union Special Collection	Full Art	140				8/14/2022
25	Pikachu V-Union	EL	Full	Celebrations Pikachu V Union Special Collection	Full Art	141				8/14/2022
25	Pikachu V-Union	EL	Full	Celebrations Pikachu V Union Special Collection	Full Art	142				8/14/2022
25	Pikachu V-Union	EL	Full	Celebrations Pikachu V Union Special Collection	Full Art / Jumbo	139 				8/14/2022
25	Pikachu V	El	Full	Celebrations Pikachu V-Max Figure Collection	Full Art	143	HYOGONOSUKE			8/14/2022
658	Greninja	D	Full	Celebrations Elite Trainer Box		144	Masakazu Fukuda			8/14/2022
25	Pikachu V	El	Full	Celebrations Ultra-Premium Collection	Full Art / Gold	145	5ban Graphics			8/14/2022
T	Poke Ball	I	Full	Celebrations Ultra-Premium Collection	Full Art / Gold	146	5ban Graphics			8/14/2022
T	Professor Burnet	Su		Celebrations Pikachu V Union Special Collection		167	Ryuta Fuse			8/14/2022
103	Exeggutor V	G	Full		Full Art / Alolan	225	MUGENUP			7/28/2022
103	Exeggutor V	G	Full		Full Art / Mega Card / Alolan	225	MUGENUP			7/28/2022
