Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
T	Lt. Surge's Strategy	Su	2			178	Megumi Mizutani			8/30/2019
T	Martial Arts Dojo	S	2			179	5ban Graphics			12/28/2019
T	Metal Core Barrier	I	2			180	Studio Bora Inc.			7/27/2019
T	Molayne	Su	2			181	Ken Sugimori			8/30/2019
T	Power Plant	I	2			183	oky CG Works			8/30/2019
T	Red's Challenge	Su	3			184	Megumi Mizutani			10/26/2019
T	Samson Oak	Su	2			185	Masakazu Fukuda			8/30/2019
T	Stealthy Hood	I	2			186	Ryo Ueda			8/30/2019
T	Surprise Box	Su	2			187	Ryo Ueda			8/30/2019
T	Ultra Forest Kartenvoy	Su	2			188	Masakazu Fukuda			8/30/2019
T	Triple Acceleration Energy	N	2			190				7/29/2019
