Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
701,Hawlucha,N,2,,,148/192,,tetsuya koizumi,,,4/25/2020,XXXXXX
759,Stufful,N,1,Reverse,,149/192,,so-taro,,,4/25/2020,XXXXXX
819,Skwovet,N,1,,,151/192,,Mina Nakai,,,4/25/2020,XXXXXX
820,Greedent,N,3,Reverse,,152/192,,kirisAki,,,4/25/2020,XXXXXX
T,Capacious Bucket,I,2,,,156/192,,sadaji,,,4/25/2020,XXXXXX
T,Cursed Shovel,I,2,Reverse,,157/192,,Toyste Beach,,,4/25/2020,XXXXXX
T,Dan,Su,2,Reverse,,158/192,,Hitoshi Ariga,,,4/25/2020,XXXXXX
T,Full Heal,I,2,,,159/192,,Yoshinobu Saito,,,4/25/2020,XXXXXX
T,Milo,Su,2,,,161/192,,take,,,4/25/2020,XXXXXX
T,Oleana,Su,2,,,163/192,,Yusuke Ohmura,,,4/25/2020,XXXXXX
T,Sonia,Su,2,,,167/192,,Yusuke Ohmura,,,4/25/2020,XXXXXX
T,Tool Scrapper,I,2,,,168/192,,Studio Bora Inc.,,,4/25/2020,XXXXXX
T,Turffield Stadium,S,2,,,170/192,,oky CG Works,,,4/25/2020,XXXXXX
T,Capture Energy,E,2,,,171/192,,,,,,4/25/2020,XXXXXX
T,Horror Energy,E,2,,,172/192,,,,,,4/25/2020,XXXXXX
T,Speed Energy,E,2,,,173/192,,,,,,4/25/2020,XXXXXX
T,Twin Energy,E,2,,,174/192,,,,,,4/25/2020,XXXXXX
