Pokedex	Pokemon	Type	Rarity	HoloFoil	Rarity Extra	Set No.	Artist	Damaged	Price	Date
254	Sceptile	G	3	Art		4	Hiromichi Sugiyama	Bent		
370	Luvdisc	W	1			14	Atsuko Nishida			
485	Heatran	F	3			1	Ken Sugimori			
387	Turtwig	G	1			17	Midori Harada			
