Card,Set No,Quantity
Water Energy,N/A,20
Aqua Patch,119/145,1
Escape Board,122/156,1
Escape Rope,114/147,1
Hau,120/149,2
Lillie,125/156,1
Professor Kukui,128/149,2
Pokemon Fan Club,133/156,2
Rescue Stretcher,130/145,1
Sophocles,123/147,2
Timer Ball,134/149,2
Ultra Ball,135/149,1
Alolan Sandshrew,28/156,2
Alolan Sandslash,20/145,2
Corsola,36/149,2
Piplup,31/156,3
Prinplup,33/156,2
Empoleon,34/156,1
Buizel,35/156,2
Floatzel,36/156,2
Snover,37/156,3
Abomasnow,38/156,2
Manaphy,42/156,2
