Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price
415,Combee,G,1,,,4/135,,Yukiko Baba,,
146,Moltres EX,F,5,Full,Team Plasma,14/135,,Eske Yoshinob,,
319,Sharpedo,W,3,,Team Plasma,33/135,,5ban Graphics,,
447,Riolu,Fg,1,,,76/135,,Akira Komayama,,
510,Liepard,D,3,Reverse,Team Plasma's,84/135,,5ban Graphics,,
