Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
261,Poochyena,D,1,,,70/107,,Aimi Tomita,,,,88296
T,Crystal Shard,T,2,,,85/107,,Jungo Suzuki,,,,84520
