Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
255,Torchic,F,1,,,4/70,,Kouki Saitou,,,,175272
256,Combusken,F,2,,,5/70,,Ken Sugimori,,,,175273
257,Blaziken,F,3,,,6/70,,Kouki Saitou,,,,175274
