Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
355,Duskull,P,1,,,50/108,,Ken Sugimori,,,
307,Meditite,Fg,1,,,55/108,,Midori Marada,,,
280,Ralts,P,1,,,59/108,,Midori Harada,Yes,,
363,Spheal,W,1,,,65/108,,Ken Sugimori,,,
T,Sidney's Stadium,S,2,,,82/108,,Ryo Ueda,,,
