Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
433,Chingling,P,1,,,58/100,,Ken Sugimori,,,
393,Piplup,W,1,,Pecha Berry,72/100,,Naoyo Kimura,,,
T,Mom's Kindess,Su,2,,,83/100,,Ken Sugimori,,,
T,Dome Fossil,T,1,,,89/100,,Ryo Ueda,,,
