Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date,TCG Player Product ID
80,Slowbro,W,2,,,24/108,,Kouki Saitou,Scratched,,,89309
629,Vullaby,D,2,Reverse,,73/108,,match,,,,90430
113,Chansey,N,1,,,80/108,,Kagemaru Himeno,,,,84179
