Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price
101,Electrode,,2,,,27/106,,Masakazu Fukuda,,
370,Luvdisc,,1,,,53/106,,Hajime Kusajima,,
307,Meditite,,1,,,55/106,,Kouki Saitou,,
258,Mudkip,,1,,,56/106,,Atsuko Nishida,,
322,Numel,,1,,,58/106,,Masakazu Fukuda,,
361,Snorunt,,1,Art,,64/106,,Atsuko Nishida,,
T,PokeNav,T,2,,,81/106,,Katsura Tabata,,
T,Scott,Su,2,,,84/106,,Ken Sugimori,,
