 ,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
6,Charizard,F,4,Art,,19/113,,Tokiya,,,
146,Moltres,F,3,Art,,22/113,,Mitsuhiro Arita,,,
537,Seismitoad,W,3,,,42/113,,Hajime Kusajima,,,
178,Xatu,P,3,,,56/113,,Kouki Saitou,Yes,,
133,Eevee,N,2,Reverse,,RC14/RC25,,kirisAki,,,
573,Cinccino,N,2,Reverse,,RC19/RC25,,Kagemaru Himeno,,,
587,Emolga,El,5,Full,Full Art,RC23/RC25,,Atsuko Nishida,,,
