Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price
28,Sandslash,,3,,,29/123,,Yukiko Baba,,
192,Sunflora,,3,,,31/123,,Yuka Morii,,
222,Corsola,,2,,,37/123,,TOKIYA,,
201,Unown,,2,,,55/123,,Hideaki Hakozaki,,
58,Growlithe,,1,,,65/123,,Naoki Saito,,
163,Hoothoot,,1,,,66/123,,Suwama Chiaki,,
167,Spinarak,,1,,,83/123,,Ken Sugimori,,
191,Sunkern,,1,,,85/123,,Yuka Morii,,
