Set,Total Cards,Abbreviation
Wizards Black Star Promo,53,
HeartGold SoulSilver Black Star Promo,25,HGSS
Diamond Pearl Black Star Promo,56,DP
Black White Black Star Promo,101,BW
XY Black Star Promo,211,XY
Sun Moon Black Star Promo,200,SM
