Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price
28,Sandslash,Fg,3,,,29/123,,Yukiko Baba,,
192,Sunflora,G,3,,,31/123,,Yuka Morii,,
222,Corsola,W,2,,,37/123,,TOKIYA,,
201,Unown,P,2,,,55/123,,Hideaki Hakozaki,,
58,Growlithe,F,1,,,65/123,,Naoki Saito,,
163,Hoothoot,N,1,,,66/123,,Suwama Chiaki,,
167,Spinarak,G,1,,,83/123,,Ken Sugimori,,
191,Sunkern,G,1,,,85/123,,Yuka Morii,,
