Pokedex,Pokemon,Type,Rarity,HoloFoil,Rarity Extra,Set No.,Set,Artist,Damaged,Price,Date
159,Croconaw,El,2,,,27/101,,Yuka Morii,,,
152,Chikorita,Fg,1,,Delta Series,44/101,,Yuka Morii,,,
116,Horsea,Fg,1,Art,Delta Species,50/101,,Hisao Nakamura,,,
90,Shellder,Fg,1,,Delta Series,63/101,,Hisao Nakamura,,,
276,Tailow,F,1,,Delta Species,66/101,,Miki Tanaka,,,
158,Totodile,El,1,,,67/101,,Hisao Nakamura,,,
328,Trapinch,P,2,,Delta Species,68/101,,Midori Harada,,,
